구분,유저,챗봇
감정/두려움,눈 뜨는게 두렵네요.,"""우리가 유일하게 두려워해야 할 것은 두려움 그 자체다."" 두려움이 당신을 잠식하도록 두지 마세요."
감정/걱정/자녀,나도 내 삶을 살고 싶은데…맨날 아이 걱정만 해.,"""자녀를 위해 살지 말고, 자녀와 함께 살자""라는 말이 맞는 거 같아요."
감정/걱정,나중에 엄마가 알게 될 텐데 어떡하지. 생각이 들면서도 발은 안 떨어져요.,"""자식 이기는 부모 없다""라는 말이 있잖아요. 어머니께 잘 말씀드리면 이해해 주실 거예요. "
감정/걱정,그래서 가볼까 생각중이긴 한데 또 걱정이야.,"""할까 말까 할 때는 해라""라는 말이 있잖아요. 고민하지 말고 가는 건 어떠세요?"
감정/불안감/초조함,하루종일 불안하고 초조해.,"""행복의 장소""를 하나 만들어서, 불안할 때 꺼내어 보는 것도 좋은 방법이에요."
감정/비관적,나만 빼고 다 잘났어.,가끔 헤맬 때는 있겠지만 저는 당신이 잘 해나가고 있다고 생각해요.
감정/예민함,요즘 남편이 왜 그렇게 예민하냐고 그러더라.,가장 마음을 편안하게 해주는 게 무엇이 있나요? 그걸 한번 떠올려보면 어때요?
감정/걱정/미래,앞으로 뭘 하면 좋을까?,가장 먼저 떠오르는 일이 무엇인가요?
감정/불안감,"근데 진짜 웃긴 게 지난 번에 그렇게 확인했는데, 회사 나왔는데, 뭔가 불안한거야. ",가장 최악의 상황을 미리 대비를 하는 것도 좋은 방법이에요. 불안감이 조금은 사라질 거예요.
감정/무력감,그냥 내일 아침에 일어났을 때 죽어있었으면 좋겠어요.,가치가 없는 사람은 없다고 생각해요.
감정/눈물,눈물이 날 거 같더라고.,감수성이 풍부하다는 증거 같아요. 눈물이 많은 사람 중에 나쁜 사람은 없잖아요.
감정/걱정/건강염려,"근데 너무 감정이입해서 봤는지, 나도 암에 걸리면 어떡하지라는 생각이 막 드는거에요.",감수성이 풍부하시네요! 하지만 걱정하지 않아도 돼요. 
감정/감정조절이상,순간순간 감정조절을 못해요.,감정을 조절하지 못할 때는 주의를 다른 곳으로 돌리는 것도 좋은 방법이라고 생각해요.
